,month,hour,boro,noise_counts
551,5,14,Brooklyn,22663822579
552,5,14,Manhattan,22811201559
553,5,14,Queens,15275706466
554,5,14,Staten Island,2935690201
555,5,15,Bronx,23765795875
556,5,15,Brooklyn,27318325456
557,5,15,Manhattan,27108487491
558,5,15,Queens,20740725397
559,5,15,Staten Island,2934724480
560,5,16,Bronx,27865496724
561,5,16,Brooklyn,28983567862
562,5,16,Manhattan,33935954528
563,5,16,Queens,24328429604
564,5,16,Staten Island,3692475079
565,5,17,Bronx,39033018384
566,5,17,Brooklyn,35362340615
567,5,17,Manhattan,42230013753
568,5,17,Queens,24232132595
569,5,17,Staten Island,3641397705
570,5,18,Bronx,50064363621
571,5,18,Brooklyn,44719195275
572,5,18,Manhattan,51027966617
573,5,18,Queens,32016975195
574,5,18,Staten Island,4299504212
575,5,19,Bronx,69988117605
576,5,19,Brooklyn,51495375549
577,5,19,Manhattan,64689957231
578,5,19,Queens,38445071473
579,5,19,Staten Island,4551885785
580,5,20,Bronx,96693036040
581,5,20,Brooklyn,75171010059
582,5,20,Manhattan,87800450507
583,5,20,Queens,53568444930
584,5,20,Staten Island,7635866275
585,5,21,Bronx,123372561073
586,5,21,Brooklyn,100162656405
587,5,21,Manhattan,118166090814
588,5,21,Queens,74806819213
589,5,21,Staten Island,11178045944
590,5,22,Bronx,145642822849
591,5,22,Brooklyn,141658152772
592,5,22,Manhattan,162631547922
593,5,22,Queens,96475141278
594,5,22,Staten Island,14416042475
595,5,23,Bronx,139273472599
596,5,23,Brooklyn,135985349877
597,5,23,Manhattan,157723753224
598,5,23,Queens,91255306615
599,5,23,Staten Island,14314806970
600,6,00,Bronx,143877965899
601,6,00,Brooklyn,129052974112
602,6,00,Manhattan,130176271197
603,6,00,Queens,89559046429
604,6,00,Staten Island,10533845817
605,6,01,Bronx,97469020232
606,6,01,Brooklyn,79444596042
607,6,01,Manhattan,81531579552
608,6,01,Queens,59075387727
609,6,01,Staten Island,4987282374
610,6,02,Bronx,59509674314
611,6,02,Brooklyn,44638843753
612,6,02,Manhattan,49371430889
613,6,02,Queens,38772848366
614,6,02,Staten Island,2340285911
615,6,03,Bronx,35837562112
616,6,03,Brooklyn,23211693109
617,6,03,Manhattan,28204282661
618,6,03,Queens,21479304443
619,6,03,Staten Island,1579343211
620,6,04,Bronx,22801739208
621,6,04,Brooklyn,15168526571
622,6,04,Manhattan,16998116249
623,6,04,Queens,12721812585
